,time,open,high,low,close,volume
36,1691280000000,29051.37,29163.87,28961.02,29040.8,130.10326851
37,1691193600000,29083.9,29142.14,28959.52,29051.37,102.3645777
38,1691107200000,29191.59,29300.0,28800.0,29083.9,261.15868743
39,1691020800000,29160.85,29398.14,28941.56,29191.59,217.47882484
40,1690934400000,29710.8,30027.37,28921.66,29160.85,403.33854863
41,1690848000000,29231.36,29710.8,28575.0,29710.8,413.02042951
42,1690761600000,29279.53,29509.63,29120.85,29231.36,252.02826752
43,1690675200000,29360.35,29446.53,29050.0,29279.53,104.53356566
44,1690588800000,29322.06,29404.45,29264.76,29360.35,58.46195389
45,1690502400000,29222.89,29537.47,29129.95,29322.06,245.81886674
46,1690416000000,29350.0,29573.0,29094.91,29222.89,159.54429269
47,1690329600000,29240.34,29696.67,29100.0,29350.0,242.10462185
48,1690243200000,29180.0,29370.0,29058.95,29240.34,230.49043745
49,1690156800000,30091.38,30104.0,28870.0,29180.0,431.68678441
50,1690070400000,29794.88,30343.0,29746.84,30091.38,146.67296522
51,1689984000000,29909.75,30002.18,29642.95,29794.88,101.60455187
52,1689897600000,29808.88,30057.36,29751.13,29909.75,182.16422973
53,1689811200000,29918.87,30419.13,29588.0,29808.88,487.70044979
54,1689724800000,29869.79,30193.85,29777.83,29918.87,330.47743913
55,1689638400000,30146.57,30253.98,29548.77,29869.79,320.96229021
56,1689552000000,30242.46,30337.0,29655.3,30146.57,449.30458639
57,1689465600000,30314.16,30449.01,30100.0,30242.46,80.58045342
58,1689379200000,30336.28,30415.62,30270.64,30314.16,87.73074133
59,1689292800000,31476.8,31628.61,29949.95,30336.28,483.25461262
60,1689206400000,30385.01,31837.71,30269.0,31476.8,534.15876528
61,1689120000000,30620.56,30971.0,30225.0,30385.01,330.33081462
62,1689033600000,30425.19,30811.07,30304.8,30620.56,267.11262209
63,1688947200000,30171.36,31050.0,29962.77,30425.19,506.58927507
64,1688860800000,30291.66,30430.26,30073.62,30171.36,81.61453997
65,1688774400000,30356.53,30389.0,30050.0,30291.66,97.4904274
66,1688688000000,29930.1,30459.1,29850.0,30356.53,426.00133086
67,1688601600000,30511.45,31506.62,29900.0,29930.1,740.17411381
68,1688515200000,30777.2,30878.0,30212.17,30511.45,447.71864821
69,1688428800000,31150.55,31330.03,30641.89,30777.2,256.03780507
70,1688342400000,30619.22,31396.86,30577.69,31150.55,394.81832952
71,1688256000000,30587.76,30800.0,30180.14,30619.22,162.72397167
72,1688169600000,30469.21,30659.43,30333.33,30587.76,184.65198526
73,1688083200000,30455.0,31250.0,29432.7,30469.21,903.61380844
74,1687996800000,30086.55,30827.58,30051.63,30455.0,317.5486866
75,1687910400000,30702.15,30702.15,29872.6,30086.55,321.47970906
76,1687824000000,30273.01,30999.0,30228.78,30702.15,580.49323392
77,1687737600000,30487.47,30666.5,29952.12,30273.01,543.28955787
78,1687651200000,30545.4,31051.54,30300.0,30487.47,308.66881849
79,1687564800000,30699.65,30803.83,30279.0,30545.4,461.96996607
80,1687478400000,29886.95,31422.41,29811.14,30699.65,799.07675973
81,1687392000000,29990.01,30490.12,29560.0,29886.95,1094.31898503
82,1687305600000,28318.74,30777.17,28292.29,29990.01,1501.98502837
83,1687219200000,26840.33,28424.3,26652.1,28318.74,714.23832638
84,1687132800000,26344.16,27029.73,26280.87,26840.33,242.87124437
85,1687046400000,26512.13,26694.95,26265.9,26344.16,91.77547973
86,1686960000000,26330.38,26808.4,26175.23,26512.13,159.74867073
87,1686873600000,25574.55,26476.99,25172.73,26330.38,412.8623561
88,1686787200000,25133.3,25739.65,24750.01,25574.55,566.90943739
89,1686700800000,25929.3,26069.38,24833.87,25133.3,460.14004272
90,1686614400000,25902.21,26415.64,25721.45,25929.3,353.63156137
91,1686528000000,25936.51,26093.79,25625.0,25902.21,380.70128878
92,1686441600000,25854.62,26202.0,25668.0,25936.51,114.27522714
93,1686355200000,26482.95,26530.98,25392.0,25854.62,306.81696965
94,1686268800000,26513.29,26768.07,26293.39,26482.95,247.14063376
95,1686182400000,26353.27,26826.77,26219.01,26513.29,296.7228361
96,1686096000000,27243.06,27395.0,26142.19,26353.27,479.65555283
97,1686009600000,25736.82,27340.57,25353.36,27243.06,821.93155603
98,1685923200000,27117.48,27125.0,25471.43,25736.82,895.41916262
99,1685836800000,27080.27,27446.42,26970.0,27117.48,237.71211007
100,1685750400000,27253.37,27340.57,26927.52,27080.27,93.67836196
101,1685664000000,26826.55,27304.14,26514.47,27253.37,265.60065994
102,1685577600000,27215.54,27352.32,26625.0,26826.55,265.49712936
103,1685491200000,27701.82,27834.93,26834.02,27215.54,291.11386067
104,1685404800000,27743.95,28046.68,27567.29,27701.82,280.35669646
105,1685318400000,28085.33,28477.1,27545.78,27743.95,258.79538906
106,1685232000000,26864.66,28261.13,26792.89,28085.33,188.24487094
107,1685145600000,26728.43,26888.0,26564.49,26864.66,95.73684624
108,1685059200000,26481.84,26924.55,26343.06,26728.43,198.7486827
109,1684972800000,26333.63,26837.04,25885.86,26481.84,569.28788718
110,1684886400000,27226.73,27226.73,26081.0,26333.63,309.26696207
111,1684800000000,26850.36,27469.53,26800.0,27226.73,290.61407371
112,1684713600000,26756.46,27090.5,26550.0,26850.36,263.90023477
113,1684627200000,27112.19,27286.52,26684.07,26756.46,102.76586444
114,1684540800000,26892.16,27163.95,26841.5,27112.19,111.40584087
115,1684454400000,26830.67,27163.5,26645.1,26892.16,279.14445414
116,1684368000000,27403.13,27482.51,26378.95,26830.67,375.88933208
117,1684281600000,27045.29,27487.23,26562.13,27403.13,428.8067603
118,1684195200000,27164.65,27307.95,26858.4,27045.29,292.01398437
119,1684108800000,26924.18,27673.85,26749.22,27164.65,386.67695062
120,1684022400000,26782.72,27217.0,26598.8,26924.18,86.10615135
121,1683936000000,26812.0,27043.23,26704.39,26782.72,219.46568404
122,1683849600000,26995.01,27084.1,25818.0,26812.0,794.79506962
123,1683763200000,27617.75,27711.5,26723.39,26995.01,426.91314591
124,1683676800000,27648.34,28332.03,26817.83,27617.75,567.99787526
125,1683590400000,27692.9,27828.77,27376.52,27648.34,401.34653375
126,1683504000000,28437.03,28664.12,27300.0,27692.9,515.27809466
127,1683417600000,28899.81,29200.3,28434.18,28437.03,104.54963601
128,1683331200000,29537.6,29847.7,28394.1,28899.81,234.21403391
129,1683244800000,28846.43,29691.89,28820.88,29537.6,518.75455767
130,1683158400000,29021.44,29350.08,28681.6,28846.43,304.89772239
131,1683072000000,28677.24,29254.54,28137.58,29021.44,478.79516819
132,1682985600000,28109.71,28899.02,27881.86,28677.24,383.90115216
133,1682899200000,29241.04,29342.17,27680.68,28109.71,737.94519192
134,1682812800000,29247.28,29956.39,29120.8,29241.04,282.27309787
135,1682726400000,29341.78,29460.0,29065.53,29247.28,116.88259293
136,1682640000000,29479.05,29614.84,28917.02,29341.78,211.71975034
137,1682553600000,28421.91,29880.71,28387.03,29479.05,368.45165452
138,1682467200000,28301.98,30015.08,27216.49,28421.91,848.34614962
139,1682380800000,27510.9,28400.0,27201.0,28301.98,282.29559525
140,1682294400000,27582.73,27993.9,26947.32,27510.9,432.25799486
141,1682208000000,27818.97,27819.87,27350.0,27582.73,180.36043401
142,1682121600000,27244.77,27886.42,26999.0,27818.97,326.03202005
143,1682035200000,28200.0,28381.69,27132.54,27244.77,670.62024724
144,1681948800000,28814.64,29091.26,27932.0,28200.0,446.65066311
145,1681862400000,30374.65,30420.0,28573.0,28814.64,523.56730156
146,1681776000000,29441.89,30451.68,29111.0,30374.65,480.31458457
147,1681689600000,30307.98,30329.49,29250.0,29441.89,385.43361805
148,1681603200000,30300.91,30534.81,30144.76,30307.98,156.21961474
149,1681516800000,30484.98,30609.0,30245.75,30300.91,128.31999999
150,1681430400000,30412.51,31069.93,30011.01,30484.98,479.04959135
151,1681344000000,29903.38,30621.89,29897.76,30412.51,397.09147774
152,1681257600000,30241.58,30799.0,29694.63,29903.38,437.93062116
153,1681171200000,29654.49,30592.6,29654.0,30241.58,483.81539065
154,1681084800000,28333.21,29800.0,28187.4,29654.49,602.96079203
155,1680998400000,27960.67,28550.0,27823.75,28333.21,144.39120537
156,1680912000000,27927.1,28174.64,27892.19,27960.67,102.92098334
157,1680825600000,28050.03,28125.36,27800.01,27927.1,205.06019288
158,1680739200000,28185.13,28190.0,27700.0,28050.03,283.45955487
159,1680652800000,28177.43,28769.85,27822.96,28185.13,476.71945551
160,1680566400000,27818.03,28448.69,27501.99,28177.43,287.2496538
161,1680480000000,28200.01,28528.0,27250.0,27818.03,532.73373372
162,1680393600000,28473.97,28534.19,27900.0,28200.01,197.18069747
163,1680307200000,28486.15,28822.66,28264.52,28473.97,146.86125587
164,1680220800000,27940.68,28650.0,27532.4,28486.15,372.21766579
165,1680134400000,28326.4,29178.34,27706.83,27940.68,512.5116257
166,1680048000000,27285.38,28625.57,27265.24,28326.4,529.98578905
167,1679961600000,27144.17,27500.0,26652.26,27285.38,441.83423464
168,1679875200000,28007.1,28048.32,26550.6,27144.17,628.59489832
169,1679788800000,27493.93,28225.0,27451.58,28007.1,158.72426034
170,1679702400000,27500.0,27808.89,27188.0,27493.93,254.76229079
171,1679616000000,28351.42,28435.75,27050.47,27500.0,580.97055382
172,1679529600000,27333.35,28825.05,27200.0,28351.42,797.62029933
173,1679443200000,28209.0,28923.58,26693.3,27333.35,1053.27721266
174,1679356800000,27816.33,28500.0,27425.27,28209.0,481.77509699
